ticker,date,candidate,is_selected,fill_time,signal_data_cutoff,reference_price,from_position,to_position,turnover,cost_fraction_of_day_start_equity,slippage_bps_per_side,commission_bps_per_side
MSTR,2026-08-31,ml_ridge,True,2026-08-31T10:50:00-04:00,2026-08-31T10:50:00-04:00,128.27000427246094,1.0,-1.0,2.0,0.0010083438016065746,5.0,0.0
MSTR,2026-08-31,ml_ridge,True,2026-08-31T10:55:00-04:00,2026-08-31T10:55:00-04:00,128.2449951171875,-1.0,1.0,2.0,0.0010075318607677616,5.0,0.0
MSTR,2026-08-31,ml_ridge,True,2026-08-31T11:15:00-04:00,2026-08-31T11:15:00-04:00,128.5800018310547,1.0,-1.0,2.0,0.0010091536120813303,5.0,0.0
MSTR,2026-08-31,ml_ridge,True,2026-08-31T11:20:00-04:00,2026-08-31T11:20:00-04:00,128.4499969482422,-1.0,1.0,2.0,0.0010091637748506064,5.0,0.0
MSTR,2026-08-31,ml_ridge,True,2026-08-31T11:40:00-04:00,2026-08-31T11:40:00-04:00,129.3699951171875,1.0,-1.0,2.0,0.0010153753227786701,5.0,0.0
MSTR,2026-08-31,ml_ridge,True,2026-08-31T11:45:00-04:00,2026-08-31T11:45:00-04:00,129.94000244140625,-1.0,1.0,2.0,0.0010098906530192624,5.0,0.0
MSTR,2026-08-31,ml_ridge,True,2026-08-31T11:50:00-04:00,2026-08-31T11:50:00-04:00,129.80999755859375,1.0,-1.0,2.0,0.0010078713778594024,5.0,0.0
MSTR,2026-08-31,ml_ridge,True,2026-08-31T12:15:00-04:00,2026-08-31T12:15:00-04:00,130.49000549316406,-1.0,1.0,2.0,0.0010015879242686776,5.0,0.0
MSTR,2026-08-31,ml_ridge,True,2026-08-31T12:25:00-04:00,2026-08-31T12:25:00-04:00,130.28500366210938,1.0,-1.0,2.0,0.0009990143996255493,5.0,0.0
MSTR,2026-08-31,ml_ridge,True,2026-08-31T12:45:00-04:00,2026-08-31T12:45:00-04:00,130.5449981689453,-1.0,1.0,2.0,0.0009960116932591408,5.0,0.0
MSTR,2026-08-31,ml_ridge,True,2026-08-31T12:50:00-04:00,2026-08-31T12:50:00-04:00,130.65859985351562,1.0,-1.0,2.0,0.0009958815550898407,5.0,0.0
MSTR,2026-08-31,ml_ridge,True,2026-08-31T13:05:00-04:00,2026-08-31T13:05:00-04:00,130.34500122070312,-1.0,1.0,2.0,0.0009972511041149183,5.0,0.0
MSTR,2026-08-31,ml_ridge,True,2026-08-31T13:10:00-04:00,2026-08-31T13:10:00-04:00,130.66000366210938,1.0,-1.0,2.0,0.0009986614819418693,5.0,0.0
MSTR,2026-08-31,ml_ridge,True,2026-08-31T13:40:00-04:00,2026-08-31T13:40:00-04:00,130.8699951171875,-1.0,1.0,2.0,0.0009960400494265543,5.0,0.0
MSTR,2026-08-31,ml_ridge,True,2026-08-31T13:45:00-04:00,2026-08-31T13:45:00-04:00,131.0500030517578,1.0,-1.0,2.0,0.000996412663947445,5.0,0.0
MSTR,2026-08-31,ml_ridge,True,2026-08-31T13:55:00-04:00,2026-08-31T13:55:00-04:00,131.5399932861328,-1.0,1.0,2.0,0.0009916850806642324,5.0,0.0
MSTR,2026-08-31,ml_ridge,True,2026-08-31T14:00:00-04:00,2026-08-31T14:00:00-04:00,131.40499877929688,1.0,-1.0,2.0,0.000989676684520861,5.0,0.0
MSTR,2026-08-31,ml_ridge,True,2026-08-31T14:40:00-04:00,2026-08-31T14:40:00-04:00,131.17999267578125,-1.0,1.0,2.0,0.0009903410846177259,5.0,0.0
MSTR,2026-08-31,ml_ridge,True,2026-08-31T14:50:00-04:00,2026-08-31T14:50:00-04:00,132.1699981689453,1.0,-1.0,2.0,0.0009968172988422284,5.0,0.0
MSTR,2026-08-31,ml_ridge,True,2026-08-31T16:00:00-04:00,,132.9499969482422,-1.0,0.0,1.0,0.000494949173562136,5.0,0.0
MSTR,2026-08-31,buy_hold_session,False,2026-08-31T09:30:00-04:00,,128.56500244140625,0.0,1.0,1.0,0.0005,5.0,0.0
MSTR,2026-08-31,buy_hold_session,False,2026-08-31T16:00:00-04:00,,132.9499969482422,1.0,0.0,1.0,0.0005167950819676996,5.0,0.0
MSTR,2026-09-01,trend_3,False,2026-09-01T09:50:00-04:00,2026-09-01T09:50:00-04:00,128.5800018310547,0.0,1.0,1.0,0.0005,5.0,0.0
MSTR,2026-09-01,trend_3,False,2026-09-01T10:25:00-04:00,2026-09-01T10:25:00-04:00,129.19940185546875,1.0,-1.0,2.0,0.0010043148259106052,5.0,0.0
MSTR,2026-09-01,trend_3,False,2026-09-01T10:45:00-04:00,2026-09-01T10:45:00-04:00,129.36000061035156,-1.0,1.0,2.0,0.0010020069058291736,5.0,0.0
MSTR,2026-09-01,trend_3,False,2026-09-01T10:50:00-04:00,2026-09-01T10:50:00-04:00,129.0,1.0,0.0,1.0,0.0004991095831472125,5.0,0.0
MSTR,2026-09-01,trend_3,False,2026-09-01T10:55:00-04:00,2026-09-01T10:55:00-04:00,128.6199951171875,0.0,-1.0,1.0,0.0004988600283556389,5.0,0.0
MSTR,2026-09-01,trend_3,False,2026-09-01T11:25:00-04:00,2026-09-01T11:25:00-04:00,127.80999755859375,-1.0,1.0,2.0,0.0010034910625718735,5.0,0.0
