day,symbol,eligible,reason,last_price,adv,history_start,history_end,sessions,dollar_volume_method,instrument_admitted,market_cap,metadata_known_at,membership_basis
2026-09-01,V,True,admitted,379.489990234375,1434589915.7323456,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,691647676416,2026-09-13T19:07:21.073699+00:00,contemporary_selected_panel_not_historical_proof
2026-09-01,WMT,True,admitted,104.80000305175781,2314919652.0450478,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,852708163584,2026-09-13T19:07:21.142965+00:00,contemporary_selected_panel_not_historical_proof
2026-09-01,XOM,True,admitted,160.9600067138672,1587153160.0122573,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,682536271872,2026-09-13T19:07:21.171450+00:00,contemporary_selected_panel_not_historical_proof
2026-09-02,AAPL,True,admitted,325.1400146484375,9281141696.288393,2026-08-05,2026-09-01,20,sum_5min_close_times_volume_proxy,True,4849207869440,2026-09-13T19:07:19.364156+00:00,contemporary_selected_panel_not_historical_proof
2026-09-02,AMD,True,admitted,459.75,8505056020.3834095,2026-08-05,2026-09-01,20,sum_5min_close_times_volume_proxy,True,842569351168,2026-09-13T19:07:19.365309+00:00,contemporary_selected_panel_not_historical_proof
2026-09-02,AMZN,True,admitted,254.9199981689453,7170382510.329958,2026-08-05,2026-09-01,20,sum_5min_close_times_volume_proxy,True,2769709432832,2026-09-13T19:07:19.367841+00:00,contemporary_selected_panel_not_historical_proof
2026-09-02,AVGO,True,admitted,369.6499938964844,5520476149.302002,2026-08-05,2026-09-01,20,sum_5min_close_times_volume_proxy,True,1728006324224,2026-09-13T19:07:19.368706+00:00,contemporary_selected_panel_not_historical_proof
2026-09-02,COIN,False,small_or_unknown_market_cap,176.8300018310547,1385333616.399508,2026-08-05,2026-09-01,20,sum_5min_close_times_volume_proxy,True,46240059392,2026-09-13T19:07:19.727845+00:00,contemporary_selected_panel_not_historical_proof
2026-09-02,COST,True,admitted,939.8200073242188,1102745680.7135742,2026-08-05,2026-09-01,20,sum_5min_close_times_volume_proxy,True,401246322688,2026-09-13T19:07:19.751088+00:00,contemporary_selected_panel_not_historical_proof
2026-09-02,CRM,True,admitted,258.17999267578125,2774096850.0376024,2026-08-05,2026-09-01,20,sum_5min_close_times_volume_proxy,True,203873566720,2026-09-13T19:07:19.756829+00:00,contemporary_selected_panel_not_historical_proof
