feature,horizon_minutes,rows,pearson,spearman,min_time,max_time
a101_101,5,76,-0.016613935446049423,0.03125085440874914,2026-09-14T11:45:00-04:00,2026-09-14T09:45:00-04:00
a101_101,15,74,0.01480295049881956,0.09227693446871527,2026-09-14T11:45:00-04:00,2026-09-14T09:45:00-04:00
a101_101,30,71,0.016015390157473202,0.06398390342052312,2026-09-14T11:45:00-04:00,2026-09-14T09:45:00-04:00
a101_101,60,65,-0.04295910366210265,-0.048994755244755245,2026-09-14T11:45:00-04:00,2026-09-14T09:45:00-04:00
xs_return_rank,5,75,0.04738186186791399,0.06591910713201651,2026-09-14T09:50:00-04:00,2026-09-14T09:40:00-04:00
xs_return_rank,15,73,0.14148029382287028,0.19246312617450906,2026-09-14T09:50:00-04:00,2026-09-14T09:40:00-04:00
xs_return_rank,30,70,0.15569661878107854,0.16174783806912438,2026-09-14T09:50:00-04:00,2026-09-14T09:40:00-04:00
xs_return_rank,60,64,0.04397110773225821,-0.013601076267373283,2026-09-14T09:50:00-04:00,2026-09-14T09:40:00-04:00
xs_peer_return,5,75,-0.15856206780571755,-0.19112375533428164,2026-09-14T09:35:00-04:00,2026-09-14T11:30:00-04:00
xs_peer_return,15,73,-0.10903067156997304,-0.03313587560162903,2026-09-14T09:35:00-04:00,2026-09-14T11:30:00-04:00
xs_peer_return,30,70,-0.1454923052548684,-0.03822937625754527,2026-09-14T09:35:00-04:00,2026-09-14T11:30:00-04:00
xs_peer_return,60,64,-0.02343805855220613,0.03063186813186813,2026-09-14T09:35:00-04:00,2026-09-14T11:30:00-04:00
xs_peer_residual,5,75,-0.07346753044030564,0.13897581792318633,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
xs_peer_residual,15,73,0.040091221366708125,0.17940886091571026,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
xs_peer_residual,30,70,0.05618394580292444,0.1414224477298574,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
xs_peer_residual,60,64,-0.03988052572571741,-0.004029304029304029,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
xs_group_residual,5,75,-0.09323881498843328,0.08071123755334281,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
xs_group_residual,15,73,0.030377658969026767,0.15552881648772063,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
xs_group_residual,30,70,-0.018765901116556467,0.0811302598197883,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
xs_group_residual,60,64,-0.0649381700534834,-0.03159340659340659,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
xs_market_beta,5,55,0.2504638443251311,0.13051948051948056,2026-09-14T14:10:00-04:00,2026-09-14T11:15:00-04:00
xs_market_beta,15,53,0.43350804673520077,0.34679890340267694,2026-09-14T14:10:00-04:00,2026-09-14T11:15:00-04:00
xs_market_beta,30,50,0.31304292713828147,0.3612484993997599,2026-09-14T14:10:00-04:00,2026-09-14T11:15:00-04:00
xs_market_beta,60,44,0.6082025815345382,0.7019027484143763,2026-09-14T14:10:00-04:00,2026-09-14T11:15:00-04:00
xs_market_residual,5,55,0.1371609854980544,0.09321789321789324,2026-09-14T11:35:00-04:00,2026-09-14T11:25:00-04:00
xs_market_residual,15,53,0.07091307170222731,0.11320754716981131,2026-09-14T11:35:00-04:00,2026-09-14T11:25:00-04:00
xs_market_residual,30,50,0.06988365468391025,0.08974789915966387,2026-09-14T11:35:00-04:00,2026-09-14T11:25:00-04:00
xs_market_residual,60,44,0.04566189495886052,-0.012403100775193798,2026-09-14T11:35:00-04:00,2026-09-14T11:25:00-04:00
xs_peer_count,5,76,0.11787612982929717,0.15527660001050544,2026-09-14T09:30:00-04:00,2026-09-14T09:35:00-04:00
xs_peer_count,15,74,-0.3270277588260875,-0.19452054794520546,2026-09-14T09:30:00-04:00,2026-09-14T09:35:00-04:00
xs_peer_count,30,71,-0.20802306864252398,-0.18662778992633736,2026-09-14T09:30:00-04:00,2026-09-14T09:35:00-04:00
xs_peer_count,60,65,-0.22219466676367505,-0.19321314919727198,2026-09-14T09:30:00-04:00,2026-09-14T09:35:00-04:00
seasonal_rvol,5,76,0.05069089276135668,0.20423786739576213,2026-09-14T12:30:00-04:00,2026-09-14T13:05:00-04:00
seasonal_rvol,15,74,-0.06188444394470506,0.01660125879303961,2026-09-14T12:30:00-04:00,2026-09-14T13:05:00-04:00
seasonal_rvol,30,71,-0.06371125545548649,-0.006908115358819583,2026-09-14T12:30:00-04:00,2026-09-14T13:05:00-04:00
seasonal_rvol,60,65,-0.07009377620096968,-0.08177447552447552,2026-09-14T12:30:00-04:00,2026-09-14T13:05:00-04:00
