symbol,feed,horizon,model,split,rows,mse_bps2,rmse_bps,mae_bps,mean_error_bps,ic,rank_ic,target_zero_fraction,forecast_zero_fraction,directional_rows,direction_accuracy_nonzero,forecast_direction_coverage,sign_match_including_zeros,predicted_abs_bps_p50,target_abs_bps_p50
TSLA,iex,30s,l1_ridge,2026-09-11_intraday,842,297.3036386334988,17.242495139436716,13.277175401580466,3.6235856146252234,0.1957937241159947,0.17385818144543633,0.052256532066508314,0.0,798,0.5125313283208021,1.0,0.4857482185273159,5.567844979162651,8.492282582048261
TSLA,iex,30s,past_mid_plus_l1_ridge,2026-09-11_intraday,842,259.10700282879054,16.096801012275407,12.725098426325435,3.417484057807073,0.41078503101293795,0.35736551870629074,0.052256532066508314,0.0,798,0.5902255639097744,1.0,0.5593824228028503,6.686855234939482,8.492282582048261
TSLA,iex,1min,zero,2026-09-11_intraday,809,331.72482733436186,18.21331456200002,13.450347603416212,-1.4795563092785171,,,0.018541409147095178,1.0,0,,0.0,0.018541409147095178,0.0,10.510223581119416
TSLA,iex,1min,past_mid_ridge,2026-09-11_intraday,809,285.6495087373845,16.901168857134838,13.189038979639838,3.257191320669293,0.4337264728705601,0.3896552644412606,0.018541409147095178,0.0,794,0.5957178841309824,1.0,0.584672435105068,4.908183985474749,10.510223581119416
TSLA,iex,1min,qi_ridge,2026-09-11_intraday,809,346.9698870489035,18.6271277187038,14.20848390311905,3.657121351431195,0.09194899361287992,0.12998183859737553,0.018541409147095178,0.0,794,0.5163727959697733,1.0,0.5067985166872683,6.433830546840711,10.510223581119416
TSLA,iex,1min,l1_ridge,2026-09-11_intraday,809,368.99901545950337,19.209347085715937,14.55153871634652,0.8096597636166999,0.1043892266982355,0.14770681529269464,0.018541409147095178,0.0,794,0.5680100755667506,1.0,0.5574783683559951,5.0669079292287496,10.510223581119416
TSLA,iex,1min,past_mid_plus_l1_ridge,2026-09-11_intraday,809,335.2256682664372,18.309168967116918,14.13687322741788,1.6484180132625876,0.2906735989482816,0.3006479866384304,0.018541409147095178,0.0,794,0.6095717884130982,1.0,0.5982694684796045,7.315676768693254,10.510223581119416
TSLA,iex,5min,zero,2026-09-11_intraday,767,386.702598954671,19.664755247769317,14.904943071863473,-1.4940824835272308,,,0.01564537157757497,1.0,0,,0.0,0.01564537157757497,0.0,10.971679352671515
TSLA,iex,5min,past_mid_ridge,2026-09-11_intraday,767,391.153268815103,19.77759512213512,16.02778204238433,6.994779837839511,0.37143709551903975,0.3641523540370215,0.01564537157757497,0.0,755,0.6198675496688741,1.0,0.6101694915254238,9.650314561929273,10.971679352671515
TSLA,iex,5min,qi_ridge,2026-09-11_intraday,767,454.9307695567896,21.329106159349237,17.15052563667132,8.662200950550929,0.11543422182606927,0.10883622804035534,0.01564537157757497,0.0,755,0.519205298013245,1.0,0.5110821382007823,11.51152312285929,10.971679352671515
