date,symbol,horizon,rows,ic,rank_ic,mse_bps2
2026-09-10,NVDA,12,65,0.15435129299337758,0.04938811188811189,498.9581357497873
2026-09-11,SNDK,1,76,0.31963889361036874,0.06955570745044429,921.6993652504392
2026-09-11,SNDK,3,74,0.13545943596496168,0.2194298407997038,2900.218153102046
2026-09-11,SNDK,6,71,0.5948056501428007,0.28018108651911466,3370.4400812996714
2026-09-11,SNDK,12,65,0.44324995304712306,0.2981643356643357,3126.1246809789272
2026-09-11,TSLA,1,76,-0.13515562655693614,-0.08822966507177034,660.4775828730149
2026-09-11,TSLA,3,74,-0.04292800878579342,0.054720473898556075,921.6634210274808
2026-09-11,TSLA,6,71,0.07652769765358314,0.12240107310529844,894.6693058180862
2026-09-11,TSLA,12,65,0.029019903375050532,0.10585664335664335,1457.503735540835
2026-09-11,PLTR,1,76,0.24628607436966243,0.18006835269993163,389.53585716803
2026-09-11,PLTR,3,74,0.27034787631279966,0.13137356534616806,1087.1176154694922
2026-09-11,PLTR,6,71,-0.019689970271404345,-0.047920858484238764,1884.9096625387372
2026-09-11,PLTR,12,65,-0.3729824340174815,-0.21062062937062936,3046.257281929925
2026-09-11,NVDA,1,76,0.022842630544984772,-0.029883800410116197,207.37300280606215
2026-09-11,NVDA,3,74,0.025707389098879763,0.05089966679007774,595.8175131048044
2026-09-11,NVDA,6,71,-0.0952589546617979,0.028973843058350095,1067.3899857481354
2026-09-11,NVDA,12,65,0.20060291828877705,0.44060314685314683,998.3887847448575
2026-09-14,SNDK,1,76,0.03965022642717155,0.01369788106630212,1678.1575656235195
2026-09-14,SNDK,3,74,0.07008649095881633,0.06079229914846351,3854.7899669462277
2026-09-14,SNDK,6,71,0.052817541979721015,0.09721663313212608,8405.98331359189
2026-09-14,SNDK,12,65,-0.18343454612565002,-0.13610139860139858,14023.525664727362
2026-09-14,TSLA,1,76,-0.12427131500169548,0.006151742993848257,460.32252389918676
2026-09-14,TSLA,3,74,-0.3465828191937053,-0.06372454646427247,1147.7289231302643
2026-09-14,TSLA,6,71,-0.03767314551638193,0.11431924882629106,2182.983268347494
2026-09-14,TSLA,12,65,0.09018169399474915,0.2495192307692308,4555.600867289237
2026-09-14,PLTR,1,76,-0.003588122147600751,0.03729323308270677,648.6916219024532
2026-09-14,PLTR,3,74,-0.01762740062132657,0.0008441318030359124,2005.2172543057209
2026-09-14,PLTR,6,71,-0.088243425882485,-0.025486250838363513,4428.987260918001
2026-09-14,PLTR,12,65,0.5558091274379265,0.5796765734265734,8482.618557065758
2026-09-14,NVDA,1,76,0.03946494767480314,-0.07227713298191418,215.51295601221938
2026-09-14,NVDA,3,74,-0.2515773995006415,0.24069603850425764,534.8019531178664
2026-09-14,NVDA,6,71,-0.03094385645659323,0.002816901408450704,894.4052715655325
2026-09-14,NVDA,12,65,-0.1237727202582649,0.04383741258741258,1460.0258120377641
