strategy,symbol,start,end,shares_held,start_reference_price,end_reference_price,gross_pnl,end_fill_assumed_cost,net_increment,shares_after
l1_base,PLTR,2026-09-14 13:10:00-04:00,2026-09-14 13:15:00-04:00,6.0,172.52000427246094,172.6999969482422,1.0799560546875,5.094649909973144,-4.014693855285644,65.0
l1_base,PLTR,2026-09-14 13:15:00-04:00,2026-09-14 13:20:00-04:00,65.0,172.6999969482422,172.87289428710938,11.238327026367188,5.70480551147461,5.533521514892578,131.0
l1_base,PLTR,2026-09-14 13:20:00-04:00,2026-09-14 13:25:00-04:00,131.0,172.87289428710938,172.88999938964844,2.2407684326171875,0.0864449996948242,2.1543234329223635,130.0
l1_base,PLTR,2026-09-14 13:25:00-04:00,2026-09-14 13:30:00-04:00,130.0,172.88999938964844,173.3000030517578,53.30047607421875,8.66500015258789,44.63547592163086,30.0
l1_base,PLTR,2026-09-14 13:30:00-04:00,2026-09-14 13:35:00-04:00,30.0,173.3000030517578,173.02999877929688,-8.100128173828125,0.7786349945068359,-8.878763168334961,39.0
l1_base,PLTR,2026-09-14 13:35:00-04:00,2026-09-14 13:45:00-04:00,39.0,173.02999877929688,173.25999450683594,8.969833374023438,3.378569892883301,5.591263481140137,0.0
l1_base,PLTR,2026-09-14 13:45:00-04:00,2026-09-14 13:50:00-04:00,0.0,173.25999450683594,173.20509338378906,-0.0,1.8186534805297847,-1.8186534805297847,21.0
l1_base,PLTR,2026-09-14 13:50:00-04:00,2026-09-14 13:55:00-04:00,21.0,173.20509338378906,173.09950256347656,-2.2174072265625,0.0865497512817382,-2.3039569778442384,20.0
l1_base,PLTR,2026-09-14 13:55:00-04:00,2026-09-14 14:00:00-04:00,20.0,173.09950256347656,173.23500061035156,2.7099609375,0.6063225021362305,2.1036384353637696,27.0
l1_base,PLTR,2026-09-14 14:00:00-04:00,2026-09-14 14:05:00-04:00,27.0,173.23500061035156,173.1199951171875,-3.1051483154296875,2.163999938964844,-5.269148254394532,52.0
l1_base,PLTR,2026-09-14 14:05:00-04:00,2026-09-14 14:10:00-04:00,52.0,173.1199951171875,173.10499572753906,-0.77996826171875,0.6924199829101563,-1.4723882446289063,44.0
